method,problem,n,start_idx,k,scaled,stencil,iters,max_iter,cg_iters,success,grad_norm,rate,time_s,stop_reason,notes
modnewt,P16,2,0,4,False,centered,5,200,0,True,1.2101430968414206e-14,3.160304575718916,0.0020363000076031312,grad_abs,
modnewt,P16,2,0,8,False,centered,5,200,0,True,1.6644463585180347e-12,3.1621777639746558,0.0007318999996641651,grad_abs,
modnewt,P16,2,0,12,False,centered,6,200,0,True,9.266668821172885e-08,1.000023481981361,0.0008463999984087422,grad_abs,
modnewt,P16,2,0,4,True,centered,5,200,0,True,5.574083417059228e-09,2.8614917145600653,0.000640500002191402,grad_abs,
modnewt,P16,2,0,8,True,centered,5,200,0,True,1.2101430968414206e-14,3.16031328769267,0.0005596999981207773,grad_abs,
modnewt,P16,2,0,12,True,centered,5,200,0,True,5.782108949376236e-11,3.0786356342949737,0.0005047000013291836,grad_abs,
modnewt,P16,1000,0,4,False,centered,7,200,0,True,2.792481055490396e-13,2.2475860510567265,0.4908780999976443,grad_abs,
modnewt,P16,1000,0,8,False,centered,7,200,0,True,2.0163849634446945e-07,2.6357541056035485,0.5290139999997336,grad_abs,
modnewt,P16,1000,0,12,False,centered,11,200,0,True,8.664733084362563e-07,1.000130923320565,0.7839526000025216,grad_abs,
modnewt,P16,1000,0,4,True,centered,7,200,0,True,2.0751531041056778e-07,1.918080341633502,0.47961949999444187,grad_abs,
modnewt,P16,1000,0,8,True,centered,7,200,0,True,7.374645183441471e-08,2.6357547403282284,0.4539168999908725,grad_abs,
modnewt,P16,1000,0,12,True,centered,6,200,0,True,1.6455534523284707e-07,2.8357253605834862,0.413467699996545,grad_abs,
truncn,P16,2,0,4,False,centered,4,200,3,True,8.112667885953694e-13,3.2351599563614197,0.0003429999924264848,grad_abs,
truncn,P16,2,0,8,False,centered,4,200,3,True,1.989789651715174e-09,3.2351552837177193,0.0002994999958900735,grad_abs,
truncn,P16,2,0,12,False,centered,6,200,3,True,3.8121907673041234e-07,0.9999999996970858,0.0004774999979417771,grad_abs,
truncn,P16,2,0,4,True,centered,4,200,3,True,8.00122136348129e-13,3.235159951130962,0.00033480000274721533,grad_abs,
truncn,P16,2,0,8,True,centered,4,200,3,True,5.8154835551451144e-09,3.2351618504417785,0.00034470000537112355,grad_abs,
truncn,P16,2,0,12,True,centered,7,200,6,True,3.4961912125296265e-07,0.9999999996991491,0.0006171999993966892,grad_abs,
truncn,P16,1000,0,4,False,centered,19,200,388,True,7.227454187707179e-08,1.502304325038615,0.018444899993482977,grad_abs,
truncn,P16,1000,0,8,False,centered,20,200,449,True,2.029317685862903e-07,1.447324159250157,0.024597199997515418,grad_abs,
truncn,P16,1000,0,12,False,centered,200,200,178604,False,0.00010952378425437199,0.05137254901960785,8.61858399999619,max_iter,
truncn,P16,1000,0,4,True,centered,200,200,12965,False,2.359196688157813e-06,1.0,0.8386060000048019,max_iter,
truncn,P16,1000,0,8,True,centered,19,200,407,True,2.006123227010078e-07,1.3825504190494418,0.02355169999646023,grad_abs,
truncn,P16,1000,0,12,True,centered,200,200,181378,False,1.807859717194418e-05,0.0029056079188070545,11.566288899994106,max_iter,
